Order_ID,Order_Date,Region,Salesperson,Product,Category,Quantity,Unit_Cost,Unit_Price,Sales,Cost,Profit,Payment_Method
ORD0001,2025-04-25,South,Meera,USB Drive,Accessories,2,599.38,708.77,1417.54,1198.76,218.78,Cash
ORD0002,2025-04-30,North,Sneha,Webcam,Electronics,7,2144.86,2419.63,16937.41,15014.02,1923.39,Bank Transfer
ORD0003,2025-01-04,South,Kiran,Mouse,Accessories,8,498.66,669.62,5356.96,3989.28,1367.68,UPI
ORD0004,2025-02-22,North,Kiran,Headphones,Accessories,3,1626.89,2162.22,6486.66,4880.67,1605.99,Cash
ORD0005,2025-01-23,West,Meera,Printer,Electronics,14,7955.91,9382.85,131359.9,111382.74,19977.16,Bank Transfer
ORD0006,2025-07-05,South,Meera,Monitor,Electronics,9,11079.53,14276.99,128492.91,99715.77,28777.14,Cash
ORD0007,2025-04-30,North,Kiran,USB Drive,Accessories,4,730.29,1019.17,4076.68,2921.16,1155.52,UPI
ORD0008,2025-07-01,South,Vishnu,Desk,Furniture,11,9526.75,10944.29,120387.19,104794.25,15592.94,Cash
ORD0009,2025-03-25,West,Kiran,Webcam,Electronics,11,2231.96,2943.37,32377.07,24551.56,7825.51,UPI
ORD0010,2025-01-29,South,Arun,USB Drive,Accessories,12,692.47,903.94,10847.28,8309.64,2537.64,UPI
ORD0011,2025-10-18,East,Sneha,Office Chair,Furniture,5,6065.83,8334.09,41670.45,30329.15,11341.3,Bank Transfer
ORD0012,2025-05-16,South,Sneha,Office Chair,Furniture,15,7550.46,9344.87,140173.05,113256.9,26916.15,UPI
ORD0013,2025-07-05,South,Rahul,Backpack,Bags,10,1722.8,2196.67,21966.7,17228.0,4738.7,Bank Transfer
ORD0014,2025-11-18,South,Kiran,Monitor,Electronics,13,10341.35,11715.66,152303.58,134437.55,17866.03,Cash
ORD0015,2025-05-09,North,Meera,Office Chair,Furniture,7,6992.8,8673.97,60717.79,48949.6,11768.19,UPI
ORD0016,2025-08-21,North,Vishnu,USB Drive,Accessories,6,614.52,756.12,4536.72,3687.12,849.6,Card
ORD0017,2025-11-24,South,Rahul,Tablet,Electronics,15,15778.85,20316.69,304750.35,236682.75,68067.6,UPI
ORD0018,2025-01-01,East,Divya,Keyboard,Accessories,9,979.54,1348.56,12137.04,8815.86,3321.18,Cash
ORD0019,2025-06-07,South,Arun,Monitor,Electronics,15,11288.94,15754.8,236322.0,169334.1,66987.9,Card
ORD0020,2025-02-05,South,Rahul,Webcam,Electronics,2,2178.53,2714.01,5428.02,4357.06,1070.96,Bank Transfer
ORD0021,2025-08-05,South,Sneha,Tablet,Electronics,3,16492.75,22458.67,67376.01,49478.25,17897.76,UPI
ORD0022,2025-09-22,West,Meera,Office Chair,Furniture,11,7087.29,8727.5,96002.5,77960.19,18042.31,Card
ORD0023,2025-04-28,South,Arun,Mouse,Accessories,2,467.26,596.45,1192.9,934.52,258.38,Cash
ORD0024,2025-01-17,East,Meera,Backpack,Bags,11,1556.49,1743.61,19179.71,17121.39,2058.32,Card
ORD0025,2025-10-20,West,Sneha,Headphones,Accessories,11,1748.44,2206.13,24267.43,19232.84,5034.59,Bank Transfer
ORD0026,2025-07-01,West,Kiran,Office Chair,Furniture,4,6115.07,7935.49,31741.96,24460.28,7281.68,Bank Transfer
ORD0027,2025-02-20,North,Kiran,Backpack,Bags,1,1833.01,2557.51,2557.51,1833.01,724.5,UPI
ORD0028,2025-03-13,West,Rahul,Monitor,Electronics,4,10774.77,13585.75,54343.0,43099.08,11243.92,UPI
ORD0029,2025-10-09,North,Arun,Desk,Furniture,4,9617.59,10796.86,43187.44,38470.36,4717.08,Cash
ORD0030,2025-07-28,West,Divya,Monitor,Electronics,15,12460.7,14590.41,218856.15,186910.5,31945.65,Card
ORD0031,2025-07-19,East,Divya,Office Chair,Furniture,15,6052.61,7346.0,110190.0,90789.15,19400.85,UPI
ORD0032,2025-10-12,West,Rahul,Office Chair,Furniture,12,7625.31,10664.96,127979.52,91503.72,36475.8,Card
ORD0033,2025-10-05,North,Anjali,Headphones,Accessories,4,1965.92,2504.1,10016.4,7863.68,2152.72,Cash
ORD0034,2025-09-29,South,Arun,Laptop,Electronics,10,43613.87,60004.67,600046.7,436138.7,163908.0,Cash
ORD0035,2025-05-01,West,Meera,Keyboard,Accessories,2,898.88,1170.85,2341.7,1797.76,543.94,Card
ORD0036,2025-12-03,East,Vishnu,Webcam,Electronics,10,2149.84,2417.7,24177.0,21498.4,2678.6,Card
ORD0037,2025-03-09,East,Divya,USB Drive,Accessories,12,649.98,766.77,9201.24,7799.76,1401.48,UPI
ORD0038,2025-02-21,North,Sneha,Monitor,Electronics,1,11574.86,16199.44,16199.44,11574.86,4624.58,UPI
ORD0039,2025-05-06,East,Vishnu,Keyboard,Accessories,15,843.53,945.29,14179.35,12652.95,1526.4,Card
ORD0040,2025-12-01,North,Vishnu,Desk,Furniture,14,8872.24,10564.67,147905.38,124211.36,23694.02,Cash
ORD0041,2025-10-11,South,Vishnu,Keyboard,Accessories,5,790.97,895.47,4477.35,3954.85,522.5,UPI
ORD0042,2025-11-21,East,Divya,Webcam,Electronics,4,2573.51,2988.05,11952.2,10294.04,1658.16,UPI
ORD0043,2025-01-23,North,Anjali,Laptop,Electronics,2,45385.7,61216.43,122432.86,90771.4,31661.46,Card
ORD0044,2025-12-28,West,Arun,USB Drive,Accessories,5,623.28,768.22,3841.1,3116.4,724.7,Cash
ORD0045,2025-01-19,East,Rahul,Monitor,Electronics,15,12273.06,14049.17,210737.55,184095.9,26641.65,Bank Transfer
ORD0046,2025-01-21,East,Sneha,Keyboard,Accessories,1,834.36,1142.82,1142.82,834.36,308.46,Card
ORD0047,2025-07-28,South,Sneha,USB Drive,Accessories,2,656.89,832.91,1665.82,1313.78,352.04,Card
ORD0048,2025-06-20,West,Sneha,Keyboard,Accessories,15,857.77,989.7,14845.5,12866.55,1978.95,UPI
ORD0049,2025-01-20,West,Sneha,Keyboard,Accessories,13,922.79,1120.97,14572.61,11996.27,2576.34,Card
ORD0050,2025-04-27,South,Arun,Desk,Furniture,6,8336.68,11159.51,66957.06,50020.08,16936.98,Card
ORD0051,2025-05-23,East,Kiran,Office Chair,Furniture,6,6437.56,7215.39,43292.34,38625.36,4666.98,UPI
ORD0052,2025-10-25,East,Arun,Laptop,Electronics,2,48116.68,56698.99,113397.98,96233.36,17164.62,Cash
ORD0053,2025-08-12,North,Kiran,Webcam,Electronics,7,2341.05,3127.48,21892.36,16387.35,5505.01,Card
ORD0054,2025-10-03,South,Anjali,Headphones,Accessories,1,1848.95,2034.78,2034.78,1848.95,185.83,Bank Transfer
ORD0055,2025-12-06,North,Vishnu,Monitor,Electronics,11,12962.31,16681.8,183499.8,142585.41,40914.39,UPI
ORD0056,2025-10-11,South,Sneha,USB Drive,Accessories,7,652.08,853.68,5975.76,4564.56,1411.2,Bank Transfer
ORD0057,2025-11-12,East,Kiran,USB Drive,Accessories,7,713.53,978.14,6846.98,4994.71,1852.27,Cash
ORD0058,2025-11-07,East,Divya,Headphones,Accessories,5,1624.58,2170.0,10850.0,8122.9,2727.1,Bank Transfer
ORD0059,2025-03-28,North,Vishnu,Desk,Furniture,11,8130.83,10098.13,111079.43,89439.13,21640.3,UPI
ORD0060,2025-06-08,South,Sneha,Monitor,Electronics,14,13056.0,15281.53,213941.42,182784.0,31157.42,Card
ORD0061,2025-02-07,West,Kiran,Laptop,Electronics,1,41004.48,50949.74,50949.74,41004.48,9945.26,Card
ORD0062,2025-03-17,North,Meera,Backpack,Bags,12,1702.79,2077.23,24926.76,20433.48,4493.28,Bank Transfer
ORD0063,2025-08-26,North,Sneha,Mouse,Accessories,3,525.51,687.77,2063.31,1576.53,486.78,Cash
ORD0064,2025-10-14,East,Divya,Desk,Furniture,3,9453.19,12291.73,36875.19,28359.57,8515.62,Bank Transfer
ORD0065,2025-09-01,West,Vishnu,Tablet,Electronics,8,19337.44,25585.3,204682.4,154699.52,49982.88,Card
ORD0066,2025-11-17,South,Vishnu,USB Drive,Accessories,5,729.02,915.93,4579.65,3645.1,934.55,Bank Transfer
ORD0067,2025-06-13,North,Rahul,Monitor,Electronics,12,11057.18,13064.22,156770.64,132686.16,24084.48,Card
ORD0068,2025-02-02,West,Kiran,Mouse,Accessories,7,511.74,671.36,4699.52,3582.18,1117.34,UPI
ORD0069,2025-08-04,West,Arun,Tablet,Electronics,8,17170.98,19953.54,159628.32,137367.84,22260.48,Bank Transfer
ORD0070,2025-07-19,West,Sneha,Desk,Furniture,1,9771.17,11623.63,11623.63,9771.17,1852.46,Bank Transfer
ORD0071,2025-06-22,West,Rahul,Mouse,Accessories,5,479.48,531.6,2658.0,2397.4,260.6,Bank Transfer
ORD0072,2025-10-31,North,Meera,Keyboard,Accessories,10,885.18,1214.54,12145.4,8851.8,3293.6,Bank Transfer
ORD0073,2025-07-14,East,Sneha,Keyboard,Accessories,14,868.88,968.88,13564.32,12164.32,1400.0,Bank Transfer
ORD0074,2025-08-04,East,Meera,Printer,Electronics,6,8842.61,10732.61,64395.66,53055.66,11340.0,Bank Transfer
ORD0075,2025-06-29,South,Meera,Laptop,Electronics,12,44318.46,62044.62,744535.44,531821.52,212713.92,Cash
ORD0076,2025-03-20,South,Rahul,Laptop,Electronics,4,40492.81,44789.66,179158.64,161971.24,17187.4,Bank Transfer
ORD0077,2025-12-25,East,Anjali,USB Drive,Accessories,2,693.69,808.42,1616.84,1387.38,229.46,Card
ORD0078,2025-03-25,East,Meera,Webcam,Electronics,10,2727.33,3587.82,35878.2,27273.3,8604.9,Cash
ORD0079,2025-07-23,South,Meera,Headphones,Accessories,10,1834.81,2545.71,25457.1,18348.1,7109.0,Card
ORD0080,2025-11-04,North,Arun,Monitor,Electronics,12,12517.44,16962.23,203546.76,150209.28,53337.48,UPI
ORD0081,2025-11-28,East,Arun,Tablet,Electronics,7,18276.85,20482.63,143378.41,127937.95,15440.46,Bank Transfer
ORD0082,2025-08-24,South,Kiran,Desk,Furniture,2,8625.43,10425.18,20850.36,17250.86,3599.5,Card
ORD0083,2025-10-03,West,Divya,Backpack,Bags,9,1964.46,2320.08,20880.72,17680.14,3200.58,Bank Transfer
ORD0084,2025-02-14,East,Divya,Backpack,Bags,10,1650.78,2237.66,22376.6,16507.8,5868.8,Card
ORD0085,2025-01-15,West,Anjali,Desk,Furniture,10,9023.25,10951.49,109514.9,90232.5,19282.4,Card
ORD0086,2025-05-24,East,Arun,Desk,Furniture,4,8448.36,9947.99,39791.96,33793.44,5998.52,Card
ORD0087,2025-05-04,West,Divya,Monitor,Electronics,4,12360.22,15407.92,61631.68,49440.88,12190.8,Bank Transfer
ORD0088,2025-05-05,East,Anjali,Laptop,Electronics,2,41560.15,50758.26,101516.52,83120.3,18396.22,Bank Transfer
ORD0089,2025-10-09,East,Anjali,Tablet,Electronics,9,16846.91,23568.65,212117.85,151622.19,60495.66,Bank Transfer
ORD0090,2025-04-09,East,Meera,Headphones,Accessories,5,1643.13,1866.92,9334.6,8215.65,1118.95,Card
ORD0091,2025-10-29,East,Meera,Mouse,Accessories,4,517.33,611.98,2447.92,2069.32,378.6,Card
ORD0092,2025-12-29,South,Vishnu,Headphones,Accessories,4,1692.4,2015.11,8060.44,6769.6,1290.84,Cash
ORD0093,2025-11-23,West,Meera,Laptop,Electronics,9,41536.54,57454.46,517090.14,373828.86,143261.28,Cash
ORD0094,2025-04-05,North,Vishnu,Webcam,Electronics,5,2418.37,2979.77,14898.85,12091.85,2807.0,Bank Transfer
ORD0095,2025-10-23,North,Rahul,Monitor,Electronics,14,10396.03,12969.3,181570.2,145544.42,36025.78,Card
ORD0096,2025-10-13,West,Sneha,Webcam,Electronics,5,2178.24,2558.25,12791.25,10891.2,1900.05,Bank Transfer
ORD0097,2025-08-08,East,Arun,Desk,Furniture,15,8646.12,11741.86,176127.9,129691.8,46436.1,Cash
ORD0098,2025-03-22,South,Rahul,Mouse,Accessories,11,451.38,585.95,6445.45,4965.18,1480.27,Cash
ORD0099,2025-08-29,East,Arun,Keyboard,Accessories,1,856.92,1119.83,1119.83,856.92,262.91,Card
ORD0100,2025-02-06,South,Vishnu,Headphones,Accessories,12,1657.22,2250.31,27003.72,19886.64,7117.08,Card
ORD0101,2025-05-17,South,Meera,Office Chair,Furniture,2,6902.98,8934.46,17868.92,13805.96,4062.96,Cash
ORD0102,2025-10-19,East,Divya,Keyboard,Accessories,13,834.21,1105.07,14365.91,10844.73,3521.18,Cash
ORD0103,2025-05-20,West,Divya,Desk,Furniture,12,8334.21,10174.01,122088.12,100010.52,22077.6,Cash
ORD0104,2025-11-06,East,Arun,Webcam,Electronics,1,2680.89,3539.74,3539.74,2680.89,858.85,Cash
ORD0105,2025-01-11,East,Arun,Mouse,Accessories,11,529.49,673.81,7411.91,5824.39,1587.52,Card
ORD0106,2025-04-03,West,Divya,Desk,Furniture,9,9115.9,12532.74,112794.66,82043.1,30751.56,Cash
ORD0107,2025-02-23,South,Anjali,Desk,Furniture,6,8568.78,10250.98,61505.88,51412.68,10093.2,Bank Transfer
ORD0108,2025-10-09,North,Divya,Backpack,Bags,8,1659.7,2296.29,18370.32,13277.6,5092.72,Cash
ORD0109,2025-07-26,North,Divya,Printer,Electronics,5,7911.96,11005.97,55029.85,39559.8,15470.05,Bank Transfer
ORD0110,2025-09-13,West,Arun,Laptop,Electronics,4,44082.44,56724.85,226899.4,176329.76,50569.64,Card
ORD0111,2025-12-24,West,Meera,Headphones,Accessories,9,1588.96,1885.16,16966.44,14300.64,2665.8,Cash
ORD0112,2025-06-09,North,Kiran,USB Drive,Accessories,10,734.88,964.85,9648.5,7348.8,2299.7,Cash
ORD0113,2025-03-02,South,Divya,Mouse,Accessories,14,539.12,667.66,9347.24,7547.68,1799.56,UPI
ORD0114,2025-08-30,South,Divya,Tablet,Electronics,12,16530.41,22322.95,267875.4,198364.92,69510.48,Card
ORD0115,2025-03-11,North,Vishnu,Office Chair,Furniture,4,7563.27,9472.79,37891.16,30253.08,7638.08,Bank Transfer
ORD0116,2025-01-02,East,Vishnu,Printer,Electronics,15,8898.9,10502.05,157530.75,133483.5,24047.25,Bank Transfer
ORD0117,2025-10-10,West,Divya,Keyboard,Accessories,8,886.18,1066.55,8532.4,7089.44,1442.96,UPI
ORD0118,2025-07-30,North,Anjali,Mouse,Accessories,12,454.85,552.59,6631.08,5458.2,1172.88,Bank Transfer
ORD0119,2025-12-06,South,Divya,Backpack,Bags,15,1895.13,2304.14,34562.1,28426.95,6135.15,Cash
ORD0120,2025-02-21,West,Meera,Keyboard,Accessories,9,982.2,1178.25,10604.25,8839.8,1764.45,Bank Transfer
ORD0121,2025-03-21,North,Divya,Laptop,Electronics,12,39871.75,54276.61,651319.32,478461.0,172858.32,UPI
ORD0122,2025-06-18,West,Anjali,Printer,Electronics,10,8697.0,11262.19,112621.9,86970.0,25651.9,Bank Transfer
ORD0123,2025-12-17,East,Sneha,Tablet,Electronics,1,18078.57,21159.72,21159.72,18078.57,3081.15,Cash
ORD0124,2025-02-21,West,Rahul,Office Chair,Furniture,2,7280.65,9546.15,19092.3,14561.3,4531.0,UPI
ORD0125,2025-07-03,East,Kiran,Laptop,Electronics,1,41899.22,46794.55,46794.55,41899.22,4895.33,Card
ORD0126,2025-04-03,South,Rahul,Mouse,Accessories,9,476.51,621.63,5594.67,4288.59,1306.08,Cash
ORD0127,2025-09-12,South,Sneha,Webcam,Electronics,14,2364.09,3085.0,43190.0,33097.26,10092.74,Bank Transfer
ORD0128,2025-08-27,East,Rahul,USB Drive,Accessories,5,675.42,878.08,4390.4,3377.1,1013.3,Cash
ORD0129,2025-08-06,East,Divya,Desk,Furniture,6,9872.22,11745.44,70472.64,59233.32,11239.32,UPI
ORD0130,2025-07-15,East,Vishnu,Mouse,Accessories,7,531.67,601.85,4212.95,3721.69,491.26,UPI
ORD0131,2025-10-17,North,Divya,Laptop,Electronics,14,45655.09,53980.03,755720.42,639171.26,116549.16,UPI
ORD0132,2025-04-08,East,Rahul,Mouse,Accessories,10,525.24,612.27,6122.7,5252.4,870.3,Cash
ORD0133,2025-01-18,East,Rahul,USB Drive,Accessories,11,601.9,804.49,8849.39,6620.9,2228.49,Cash
ORD0134,2025-03-09,East,Vishnu,Headphones,Accessories,6,1866.37,2151.35,12908.1,11198.22,1709.88,Card
ORD0135,2025-06-01,East,Meera,Headphones,Accessories,15,1901.11,2366.03,35490.45,28516.65,6973.8,Bank Transfer
ORD0136,2025-12-13,West,Anjali,Monitor,Electronics,3,12462.45,14552.21,43656.63,37387.35,6269.28,Cash
ORD0137,2025-07-08,East,Kiran,Office Chair,Furniture,1,6412.8,7291.84,7291.84,6412.8,879.04,UPI
ORD0138,2025-10-15,East,Sneha,Monitor,Electronics,11,10901.47,12073.46,132808.06,119916.17,12891.89,Cash
ORD0139,2025-11-29,West,Meera,USB Drive,Accessories,14,676.25,886.11,12405.54,9467.5,2938.04,Card
ORD0140,2025-02-19,South,Rahul,Laptop,Electronics,1,41674.1,52000.42,52000.42,41674.1,10326.32,Bank Transfer
ORD0141,2025-10-04,West,Rahul,Desk,Furniture,6,9158.59,12116.28,72697.68,54951.54,17746.14,Bank Transfer
ORD0142,2025-05-24,North,Anjali,USB Drive,Accessories,2,740.9,951.83,1903.66,1481.8,421.86,Card
ORD0143,2025-02-20,East,Anjali,Desk,Furniture,8,9788.75,13279.76,106238.08,78310.0,27928.08,Cash
ORD0144,2025-08-21,North,Sneha,Office Chair,Furniture,5,6282.16,7140.6,35703.0,31410.8,4292.2,Cash
ORD0145,2025-10-17,South,Meera,Laptop,Electronics,13,42001.98,58661.91,762604.83,546025.74,216579.09,Card
ORD0146,2025-03-17,North,Vishnu,Webcam,Electronics,4,2633.16,3080.53,12322.12,10532.64,1789.48,Card
ORD0147,2025-12-05,North,Rahul,Keyboard,Accessories,9,821.4,946.54,8518.86,7392.6,1126.26,Cash
ORD0148,2025-01-09,South,Vishnu,Printer,Electronics,13,8900.42,11362.77,147716.01,115705.46,32010.55,Cash
ORD0149,2025-02-02,West,Divya,Keyboard,Accessories,12,859.72,975.0,11700.0,10316.64,1383.36,UPI
ORD0150,2025-11-11,North,Vishnu,Tablet,Electronics,10,15790.74,19756.61,197566.1,157907.4,39658.7,Bank Transfer
